People,"1111                ",1064 KB,624 KB,312 KB,128 KB
StockItems,"227                 ",496 KB,112 KB,128 KB,256 KB
People_Archive,"961                 ",1728 KB,232 KB,184 KB,1312 KB
ColdRoomTemperatures_Archive,"3654736             ",78408 KB,76040 KB,592 KB,1776 KB
StockItems_Archive,"444                 ",1080 KB,168 KB,112 KB,800 KB
Countries,"190                 ",1952 KB,1744 KB,72 KB,136 KB
StockItemHoldings,"227                 ",72 KB,16 KB,16 KB,40 KB
PurchaseOrderLines,"8367                ",2216 KB,1248 KB,832 KB,136 KB
Countries_Archive,"36                  ",656 KB,480 KB,16 KB,160 KB
DeliveryMethods,"10                  ",144 KB,8 KB,24 KB,112 KB
DeliveryMethods_Archive,"1                   ",72 KB,8 KB,8 KB,56 KB
PaymentMethods,"4                   ",144 KB,8 KB,24 KB,112 KB
SupplierTransactions,"2438                ",4296 KB,248 KB,688 KB,3360 KB
PaymentMethods_Archive,"1                   ",72 KB,8 KB,8 KB,56 KB
TransactionTypes,"13                  ",144 KB,8 KB,24 KB,112 KB
SpaceUsed,"39                  ",72 KB,8 KB,8 KB,56 KB
SpecialDeals,"2                   ",432 KB,8 KB,88 KB,336 KB
TransactionTypes_Archive,"1                   ",72 KB,8 KB,8 KB,56 KB
SupplierCategories,"9                   ",144 KB,8 KB,24 KB,112 KB
SupplierCategories_Archive,"1                   ",72 KB,8 KB,8 KB,56 KB
BuyingGroups,"2                   ",144 KB,8 KB,24 KB,112 KB
Invoices,"70510               ",105360 KB,90856 KB,14128 KB,376 KB
BuyingGroups_Archive,"0                   ",0 KB,0 KB,0 KB,0 KB
CustomerCategories,"8                   ",144 KB,8 KB,24 KB,112 KB
CustomerCategories_Archive,"1                   ",72 KB,8 KB,8 KB,56 KB
